"","Player","ADP","ADP.Underdog","ADP.ESPN","value.underdog","value.Pro"
"1","Justin Jefferson",1,1.1,1.5,0.4,0.5
"2","Christian McCaffrey",2,3.3,4.3,1,2.3
"3","Ja'Marr Chase",3,2.2,3.1,0.9,0.1
"4","Austin Ekeler",4,7.4,4.9,-2.5,0.9
"5","Travis Kelce",5.3,6.4,5.6,-0.800000000000001,0.3
"6","Tyreek Hill",5.7,4.2,7.2,3,1.5
"7","Cooper Kupp",7.3,5.5,8.4,2.9,1.1
"8","Bijan Robinson",8.3,7.8,10.5,2.7,2.2
"9","Saquon Barkley",9,15.2,11.3,-3.9,2.3
"10","Nick Chubb",9.7,12,14.5,2.5,4.8
"11","Stefon Diggs",11,8.5,12.6,4.1,1.6
"12","CeeDee Lamb",13.3,11.7,16.9,5.2,3.6
"13","A.J. Brown",15,10.4,19.9,9.5,4.9
"14","Derrick Henry",15.7,20.4,11.5,-8.9,-4.2
"15","Tony Pollard",16.3,16.5,15.5,-1,-0.800000000000001
"16","Davante Adams",17,15.8,12.7,-3.1,-4.3
"17","Jonathan Taylor",19,26.3,28.6,2.3,9.6
"18","Josh Allen",19,27.2,20.8,-6.4,1.8
"19","Amon-Ra St. Brown",19,13.3,21.8,8.5,2.8
"20","Garrett Wilson",20.3,14.5,18.5,4,-1.8
"21","Josh Jacobs",21.3,31.1,19.8,-11.3,-1.5
"22","Jalen Hurts",22,23.7,22.8,-0.899999999999999,0.800000000000001
"23","Jaylen Waddle",23.7,18.8,27.1,8.3,3.4
"24","Najee Harris",25,41.5,33.7,-7.8,8.7
"25","Chris Olave",26,19.7,30.7,11,4.7
"26","DeVonta Smith",27.7,22.3,32.5,10.2,4.8
"27","Mark Andrews",28.3,28,34.3,6.3,6
"28","Rhamondre Stevenson",28.7,34.6,43,8.4,14.3
"29","Tee Higgins",32.3,25.9,29.4,3.5,-2.9
"30","Lamar Jackson",34.3,33.4,32.6,-0.799999999999997,-1.7
"31","DK Metcalf",34.7,29.2,27.2,-2,-7.5
"32","Jahmyr Gibbs",34.7,31.1,36.6,5.5,1.9
"33","Joe Mixon",35,41.9,27.5,-14.4,-7.5
"34","Joe Burrow",36.3,49.1,35,-14.1,-1.3
"35","Calvin Ridley",38,23.9,40.8,16.9,2.8
"36","Aaron Jones",38.7,50.8,35.7,-15.1,-3
"37","Deebo Samuel",40,34.9,36,1.1,-4
"38","Breece Hall",40.7,43.6,58.9,15.3,18.2
"39","Amari Cooper",41.7,32.7,46.2,13.5,4.5
"40","Dameon Pierce",43.7,64.5,52.4,-12.1,8.7
"41","T.J. Hockenson",44,52.3,47.3,-5,3.3
"42","Justin Fields",44.3,43.6,50.2,6.6,5.90000000000001
"43","Keenan Allen",44.7,35.7,43,7.3,-1.7
"44","Justin Herbert",45.3,52.7,46.4,-6.3,1.1
"45","George Kittle",50,62.8,52.7,-10.1,2.7
"46","Miles Sanders",50,71,67.2,-3.8,17.2
"47","J.K. Dobbins",51,67.3,89.9,22.6,38.9
"48","Terry McLaurin",51.3,47,74.2,27.2,22.9
"49","DJ Moore",53.3,39.2,64.5,25.3,11.2
"50","Alexander Mattison",54.7,59.6,69.3,9.7,14.6
"51","Trevor Lawrence",55,63.5,67.6,4.09999999999999,12.6
"52","Cam Akers",56,71.3,78.9,7.60000000000001,22.9
"53","Darren Waller",58.3,62,50.9,-11.1,-7.4
"54","James Conner",59.3,80.4,63,-17.4,3.7
"55","Drake London",62,45.4,87.1,41.7,25.1
"56","Jerry Jeudy",63,37.9,65.2,27.3,2.2
"57","Javonte Williams",63.3,75.2,81,5.8,17.7
"58","Kyle Pitts",63.7,75.5,64.8,-10.7,1.09999999999999
"59","Dallas Goedert",64,77.9,70,-7.90000000000001,6
"60","Christian Watson",64.7,40,54.1,14.1,-10.6
"61","Brandon Aiyuk",65.7,51.3,82.8,31.5,17.1
"62","Tyler Lockett",66.7,61.3,79.8,18.5,13.1
"63","Dalvin Cook",66.7,92.3,87.6,-4.7,20.9
"64","Chris Godwin",67.3,61.1,63.2,2.1,-4.09999999999999
"65","Alvin Kamara",68,82.9,57.8,-25.1,-10.2
"66","Mike Williams",69,43.7,75.2,31.5,6.2
"67","Rachaad White",70.3,85.3,62.3,-23,-8
"68","D'Andre Swift",71,83.2,97.1,13.9,26.1
"69","James Cook",74,76.5,75.2,-1.3,1.2
"70","Christian Kirk",75,54.5,91.5,37,16.5
"71","David Montgomery",75.3,78.9,86.2,7.3,10.9
"72","Mike Evans",80.3,66.3,68.9,2.60000000000001,-11.4
"73","Diontae Johnson",80.3,55.6,68.1,12.5,-12.2
"74","Evan Engram",82.3,96.6,85.4,-11.2,3.10000000000001
"75","Dak Prescott",82.3,105.9,99.9,-6,17.6
"76","George Pickens",83,66.6,86.8,20.2,3.8
"77","Pat Freiermuth",84.7,108.9,88.7,-20.2,4
"78","Deshaun Watson",85,86.9,77.2,-9.7,-7.8
"79","Marquise Brown",86.7,66.3,87.4,21.1,0.700000000000003
"80","AJ Dillon",89.7,102.6,105.9,3.30000000000001,16.2
"81","Jahan Dotson",93,73.1,107.2,34.1,14.2
"82","Khalil Herbert",94.7,96.6,104.1,7.5,9.39999999999999
"83","Jaxon Smith-Njigba",95,57.1,107.2,50.1,12.2
"84","David Njoku",95,107.8,101.4,-6.39999999999999,6.40000000000001
"85","Brandin Cooks",99.7,84,99.7,15.7,0
"86","Aaron Rodgers",107.3,121.8,103.6,-18.2,-3.7
"87","Kirk Cousins",107.7,112.8,97.6,-15.2,-10.1
"88","Courtland Sutton",116.3,92.3,105,12.7,-11.3
